crocodile	crocodile,crocodiles
disc	discs,disc
snowmobile	snowmobile,snowmobiles
bomb	bomb,bombs
chair	chairs,chair
dumbbell	dumbbell,dumbbells
milk	milk,milks
equipment	equipment
grape	grape,grapes
swan	swans,swan
microwave	microwaves,microwave
dairy	dairy,dairies
trousers	trousers
melon	melon,melons
dragonfly	dragonfly,dragonflies
fax	fax,faxes
woman	woman,women
ladle	ladles,ladle
dessert	dessert,desserts
screwdriver	screwdriver,screwdrivers
vase	vases,vase
spoon	spoons,spoon
fan	fans,fan
mixing	mixing,mixings
drinking	drinking,drinkings
fireplace	fireplace,fireplaces
segway	segways,segway
stapler	staplers,stapler
whisk	whisk,whisks
parrot	parrots,parrot
harbor	harbor,harbors
dinosaur	dinosaur,dinosaurs
convenience	convenience,conveniences
saxophone	saxophone,saxophones
mammal	mammal,mammals
rack	rack,racks
carnivore	carnivores,carnivore
bicycle	bicycles,bicycle
tea	tea,teas
lavender	lavender,lavenders
sign	signs,sign
nail	nail,nails
street	street,streets
panda	panda,pandas
blue	blue,blues
coat	coat,coats
clock	clocks,clock
sun	sun,suns
cooking	cooking,cookings
stool	stool,stools
paddle	paddles,paddle
uniform	uniforms,uniform
unicycle	unicycle,unicycles
supplies	supplies
bird	bird,birds
body	body,bodies
leg	legs,leg
kangaroo	kangaroo,kangaroos
french	frenches,french
mule	mules,mule
slow	slows,slow
baseball	baseball,baseballs
sink	sink,sinks
pancake	pancakes,pancake
goldfish	goldfish
shellfish	shellfish
box	box,boxes
boy	boy,boys
penguin	penguins,penguin
bathtub	bathtub,bathtubs
tortoise	tortoise,tortoises
luggage	luggage
bow	bows,bow
drawers	drawers
porch	porches,porch
hamster	hamster,hamsters
raccoon	raccoon,raccoons
pillow	pillow,pillows
apple	apple,apples
hiking	hikings,hiking
straw	straw,straws
radish	radish,radishes
snowboard	snowboards,snowboard
duck	ducks,duck
punching	punching,punchings
hamburger	hamburger,hamburgers
horizontal	horizontals,horizontal
eye	eyes,eye
&	&s,&
humidifier	humidifiers,humidifier
frog	frogs,frog
sports	sports
camera	camera,cameras
crab	crabs,crab
vehicle	vehicles,vehicle
tape	tape,tapes
limousine	limousine,limousines
pencil	pencil,pencils
sushi	sushi,sushis
door	door,doors
oboe	oboes,oboe
envelope	envelope,envelopes
training	training,trainings
missile	missiles,missile
phone	phone,phones
flag	flag,flags
train	train,trains
stethoscope	stethoscopes,stethoscope
rabbit	rabbits,rabbit
high	high,highs
room	room,rooms
salad	salads,salad
car	car,cars
cap	cap,caps
chisel	chisels,chisel
worm	worm,worms
cat	cats,cat
can	can,cans
drill	drills,drill
control	control,controls
shark	sharks,shark
tap	taps,tap
brown	brown,browns
dolphin	dolphin,dolphins
parachute	parachute,parachutes
drawer	drawer,drawers
carrot	carrot,carrots
sunglasses	sunglasses
airplane	airplane,airplanes
woodpecker	woodpecker,woodpeckers
dress	dress,dresses
rays	rays
winter	winter,winters
clothing	clothing,clothings
magpie	magpies,magpie
rhinoceros	rhinoceros
hot	hot,hots
sword	swords,sword
elephant	elephants,elephant
cheetah	cheetah,cheetahs
goat	goat,goats
pizza	pizzas,pizza
plant	plants,plant
sandwich	sandwich,sandwiches
cupboard	cupboard,cupboards
briefcase	briefcase,briefcases
